Tipo Info. :    2  (1=Reduc;2=Absoluto)
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      74      50      50      71      63      61      68      71      71      71      71      71      71      71      71      71      71      71      71
**** Planta:  412 CALIMA      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132     132      19       0      94      93      93      93      93      93      93      93      93      93      93      93      93
**** Planta:  499 AMOYA       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      80      66      80      66      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72
2020      80      80      80      80      47       2      25      74      78      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72      72
**** Planta:  504 MIEL I      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     396     264     264     270     396     388     350     396     396     396     396     396     396     396     396     396     396     350     396     396
2020     396     396     396     396     396     396     396     396     396     396     396     396     350     396     396     396     396     396     270     264     328     388     270     264     328     388     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367     367
**** Planta:  505 PORCE II    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     405     393     405     405     393     405     405     405     405     405     405     393     390     390     390
**** Planta:  506 PORCE III   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     700     682     684     105     387     553     520     674     681
**** Planta:  508 SOGAMOSO    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     819     674     819     791     592     546     791     819     819     819     686     819     819     819     819     819     819     819     819     819
2020     819     819     819     819     819     819     819     557     557     819     541     557     819     803     819     557     557     803     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782     782
**** Planta:  511 CUCUANA     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56      56       6      23      56      56      56      56
